eid,source,target,dir,capacity,speed_mph,cost_time,btw
14882,23663,3789,1,1900,30,0.40286456267,38406.0
19247,23663,26143,1,1900,30,0.07440632512539999,10851.0
56593,23664,6272,1,1900,30,1.5141528728799998,66600.0
93863,23664,682,1,1900,30,0.902844068369,50660.0
54879,23664,739,1,1900,30,1.1115057648200002,83232.0
34730,23665,18393,1,950,20,0.07195049068300001,26964.0
81127,23665,18628,1,950,20,2.65802307349,50513.0
12022,23666,14868,1,5400,40,0.189900965359,1523340.0
18440,23666,15629,1,1900,30,0.0885585037188,69169.5
52382,23667,23899,1,950,20,1.8986521078599998,29848.5
92889,23667,396,1,950,20,0.652946251739,5382.0
71195,23668,13889,1,5400,40,2.85985662652,802588.5
19604,23668,2916,1,1900,30,1.85687416979,72236.0
20974,23668,22845,1,5400,40,1.69140262625,632899.0
38749,23669,22969,1,1900,30,0.195944844361,226532.5
83853,23669,23946,1,1900,30,0.599028518047,94186.0
38629,23669,23839,1,1900,30,0.09828048723410002,641378.0
83789,23669,12031,1,1900,30,0.08102800000410001,643417.0
21474,23670,6123,1,6900,60,0.48883616005099995,11705479.5
53664,23672,19760,1,8100,40,0.0282136177869,559452.5
22226,23672,16870,1,8100,40,0.0584093877346,56901.0
34245,23673,4409,1,8100,40,0.08862177469110001,171816.0
90719,23673,11322,1,5400,40,0.0715432664278,1783482.0
48079,23673,12214,1,5400,40,0.0750213877532,145713.0
29129,23674,19670,1,5400,40,0.119099528585,832444.5
87499,23675,24144,1,1900,30,3.1784656420700004,527155.0
44152,23675,24938,1,1900,30,0.9698859566060001,561124.5
54633,23676,23680,1,1900,30,0.134452594892,110564.0
83071,23676,23677,1,1900,30,0.0305135386645,157886.5
83073,23677,1706,1,1900,30,0.29644203149799997,183369.0
37520,23677,23676,1,1900,30,0.0305135386645,136048.0
75467,23678,21152,1,950,20,0.531830618683,71697.5
26987,23678,20478,1,950,20,1.61779479732,47909.0
75455,23678,21695,1,950,20,5.78508154026,4389.0
37523,23679,23680,1,1900,30,0.0480900961275,115994.5
53486,23680,23681,1,1900,30,0.048448545712199996,92221.0
94287,23680,23676,1,1900,30,0.134452594892,133370.0
54146,23681,24037,1,1900,30,0.658283502682,91253.5
95035,23682,3773,1,1900,30,0.636932192949,121487.5
41311,23682,135,1,1900,30,0.15250812944,118434.0
39137,23683,23051,1,950,20,0.358814106109,26109.5
73211,23684,24138,1,950,20,0.463749035047,105810.0
73351,23684,23923,1,950,20,0.0950984902956,118537.5
23805,23684,16559,1,950,20,0.06279445327790001,4049.0
51796,23685,222,1,1900,30,0.100809719572,156253.0
92369,23685,6421,1,1900,30,0.351158044925,129998.5
52432,23685,5278,1,950,20,0.508121625126,39363.0
41664,23686,21800,1,8100,40,0.109133259379,610126.0
48409,23686,16812,1,950,20,0.121000138659,178524.0
90299,23686,19309,1,950,20,0.163871459479,15715.5
69857,23687,7936,1,950,20,0.0973610680348,1.0
85147,23687,10556,1,950,20,0.291525741579,7924.5
43686,23687,6572,1,950,20,0.190773900724,18184.0
