eid,source,target,dir,capacity,speed_mph,cost_time,btw
16179,16145,4677,1,950,20,0.07398280200660001,56035.0
23711,16146,8458,1,1900,30,0.0821224377708,54483.0
27289,16146,16149,1,1900,30,0.0246551368988,297820.0
6853,16147,16169,1,950,20,0.6737736943000001,17889.0
9482,16148,4684,1,950,20,0.0799214597457,114653.0
29311,16148,16318,1,950,20,0.253706012466,64202.0
27290,16149,16152,1,1900,30,0.045887887192199994,2469.0
2846,16149,11166,1,950,20,1.0301408109999999,295077.0
44393,16150,5939,1,950,20,1.14242753078,39404.0
32184,16151,16291,1,950,20,0.305737304821,40718.0
8720,16151,15030,1,950,20,0.0771521251888,128571.0
37063,16151,15574,1,950,20,0.09059467875050001,7348.0
27291,16152,16154,1,1900,30,0.04246773004369999,326691.0
20812,16153,16144,1,950,20,0.802818876981,17555.0
43423,16153,16178,1,950,20,5.346079466580001,334.0
46701,16154,16717,1,1900,30,0.322873959094,188031.0
27292,16154,4630,1,1900,30,0.0175247201765,299190.0
8816,16155,4757,1,950,20,0.0479459965203,797341.0
31723,16155,10549,1,950,20,0.0858389018103,76070.0
26254,16156,10883,1,6900,60,0.0625686132404,15025620.0
48619,16157,5058,1,5400,40,0.478182014256,194141.0
26797,16157,10685,1,5400,40,0.040800156588099996,19758.0
5890,16158,9641,1,5400,40,0.07790918760419999,4314339.0
6081,16161,6256,1,6900,60,0.227307329913,20544519.0
30485,16161,16464,1,8100,40,0.47571578900300004,81064.0
9484,16162,18100,1,950,20,0.7990051018600001,182291.0
48545,16162,16163,1,950,20,0.0628618847164,93248.0
46003,16162,16132,1,950,20,0.661822319295,109137.0
44383,16163,18057,1,950,20,0.664848786618,75516.0
31338,16163,16162,1,950,20,0.0628618847164,154032.0
48547,16163,86,1,950,20,0.031176074423199997,90535.0
3129,16164,13099,1,1900,20,0.06364977560480001,58123.0
5883,16165,16170,1,5400,40,0.6749992729600001,3813861.0
28518,16165,10819,1,1900,30,0.243822988616,279692.0
7096,16166,12979,1,6900,60,1.34040284671,21978340.0
33177,16167,15822,1,1900,30,0.173611476404,17889.0
36199,16168,16169,1,950,20,0.290047111889,36324.0
31328,16168,86,1,950,20,0.702081052211,160951.0
6848,16169,16168,1,950,20,0.290047111889,35776.0
36203,16169,16147,1,950,20,0.6737736943000001,18163.0
5884,16170,4280,1,5400,40,0.870846969702,4013896.0
8819,16171,83,1,950,20,0.0359647446568,616347.0
27298,16172,9016,1,1900,20,0.07558666216660001,48752.0
48781,16172,14219,1,1900,30,1.07043621558,36466.0
8814,16173,76,1,950,20,0.024006464451700002,90007.0
48117,16174,12530,1,950,20,0.084625047787,10651.0
6724,16174,8973,1,950,20,0.143937400114,15950.0
30618,16174,14621,1,950,20,0.111479755161,4707.0
37477,16175,17473,1,1900,30,1.32831523373,170412.0
49087,16175,14703,1,1900,30,0.12832560170399998,171338.0
16177,16176,16186,1,950,20,0.07384539496430001,50875.0
31684,16176,4306,1,950,20,0.104226438332,5194.0
16176,16177,16176,1,950,20,0.09259933484650001,56343.0
20129,16178,15137,1,5400,40,0.607078342494,201635.0
43079,16178,8494,1,5400,40,1.6624367063799999,92296.0
20822,16178,16153,1,950,20,5.346079466580001,5.0
27078,16179,2017,1,5400,40,0.044383916868,1939003.0
32537,16179,9691,1,5400,40,0.045173467137900006,306127.0
43427,16180,16185,1,5400,40,0.04427355144640001,1053007.0
20838,16180,4902,1,5400,40,0.025630470890099996,1410.0
28508,16181,15066,1,950,20,4.58946302999,17889.0
20828,16182,16185,1,5400,40,0.0366647297889,743102.0
43431,16182,5826,1,5400,40,0.0106273520966,2647611.0
13370,16183,1791,1,950,20,0.0829114778619,18650.0
29485,16183,8983,1,950,20,0.0556513365808,176839.0
22873,16184,15106,1,5400,40,0.356398343636,3588263.0
6484,16185,4770,1,5400,40,0.18519141226100003,1770827.0
20826,16185,16180,1,5400,40,0.04427355144640001,13836.0
43429,16185,16182,1,5400,40,0.0366647297889,11172.0
16178,16186,16145,1,950,20,0.0184525556285,505742.0
15615,16187,1918,1,950,20,3.73020455411,17889.0
19732,16188,7968,1,950,20,1.8453027597099998,145248.0
19734,16188,16585,1,950,20,1.3134728195,54483.0
42859,16188,12101,1,950,20,0.492422656072,214536.0
26210,16189,16997,1,6900,60,0.786290165835,26283924.0
39583,16190,16051,1,950,20,0.24956908625399998,18162.0
45325,16190,4567,1,950,20,0.118259134646,46451.0
4911,16191,16196,1,950,20,0.616085800083,60094.0
4789,16191,15829,1,950,20,0.0204038656657,89511.0
10531,16192,12341,1,950,20,5.564627624809999,17889.0
4905,16193,16194,1,950,20,0.104468510298,123996.0
4906,16194,16196,1,950,20,0.0527022096339,889.0
4910,16194,15830,1,950,20,0.6392617076129999,122833.0
12480,16195,4406,1,1900,30,1.22719339393,17889.0
4907,16196,4973,1,950,20,0.00929948946712,60709.0
29422,16197,1789,1,1900,30,0.27184223454900003,3091603.0
4909,16198,16193,1,950,20,0.136138411129,124270.0
4591,16199,16197,1,1900,20,0.20549967461399998,0.0
4567,16199,10079,1,1900,30,0.08451824467489999,4498151.0
8604,16200,17634,1,950,20,0.0900866029497,140520.0
6643,16201,16296,1,1900,30,0.047659798850099994,30072.0
16547,16201,1949,1,950,20,0.289509356258,64881.0
1597,16202,5680,1,1900,30,0.45925272033500003,319487.0
10556,16202,13903,1,5400,40,0.250721244824,6218173.0
16211,16203,4967,1,950,20,0.0156519827081,103595.0
1552,16204,14120,1,950,20,0.0214292513433,16145.0
33477,16204,16205,1,950,20,0.0350683534456,13710.0
1540,16205,16204,1,950,20,0.0350683534456,9450.0
33479,16205,7012,1,950,20,0.04561040225219999,112158.0
14611,16206,3418,1,5400,40,0.107532728666,3109831.0
5100,16207,10075,1,1900,30,0.411332648965,1180514.0
37715,16208,5992,1,5400,40,0.0150760344976,261445.0
24993,16208,10095,1,5400,40,0.300383631875,210608.0
33485,16209,16210,1,950,20,0.0267308756763,113521.0
1546,16209,8894,1,950,20,0.0342889059247,67697.0
19074,16209,15599,1,950,20,0.522343163664,327510.0
33487,16210,14120,1,950,20,0.0661396609136,166355.0
1548,16210,16209,1,950,20,0.0267308756763,121421.0
