eid,source,target,dir,capacity,speed_mph,cost_time,btw
1151,6372,1987,1,6900,60,0.0281586976242,1045749.0
22034,6373,10817,1,1900,30,0.402293968054,240787.0
20988,6373,7453,1,950,20,1.04584887015,62814.0
5601,6373,9565,1,1900,30,0.49349787336400003,308880.0
13608,6374,7833,1,950,20,0.083084443747,856752.0
13584,6374,4215,1,950,20,0.0380212431138,60733.0
18087,6375,6341,1,1900,30,0.052104440924500006,1433551.0
6872,6375,6343,1,5400,40,0.014460975168800001,236498.0
13113,6376,3876,1,950,20,0.42645615119499997,16429.0
8125,6377,10137,1,5400,40,0.527314302617,254644.0
9536,6377,6339,1,5400,40,0.0265810927277,1799367.0
25286,6378,993,1,950,20,0.09234311144099999,118205.0
11542,6378,8002,1,950,20,1.01444942111,135947.0
1053,6379,4997,1,6900,60,0.136360843335,2399228.0
1200,6380,4438,1,6900,60,0.120153792386,2255832.0
15550,6381,8822,1,5400,40,0.0563419927834,1354345.0
27162,6381,4366,1,5400,40,0.0847294840111,1280193.0
3357,6382,6900,1,5400,40,0.10747254664200001,804215.0
15551,6382,6358,1,5400,40,0.0274829805568,741619.0
13580,6383,4443,1,950,20,0.15448981154400002,552953.0
13587,6383,6371,1,950,20,0.0307964937875,20925.0
26098,6383,6327,1,950,20,0.101274502472,155.0
14921,6384,2690,1,950,20,0.433933019732,28354.0
25162,6384,758,1,950,20,0.06991531452750001,37670.0
2401,6385,2890,1,5400,40,0.968011741535,208775.0
2402,6386,2845,1,1900,30,0.641652093096,110873.0
3196,6386,6367,1,5400,40,0.329026010317,54502.0
13602,6387,6288,1,1900,30,0.0034477626424499995,98585.0
6456,6387,10537,1,1900,30,0.0163043367732,33788.0
26110,6387,6350,1,1900,30,0.0682832578207,0.0
13207,6388,2955,1,8100,40,0.135797862529,860213.0
8034,6389,6397,1,6900,60,0.15104969283800002,2116839.0
16952,6390,10097,1,5400,40,0.00681626966347,1641005.0
119,6390,189,1,5400,40,0.105293551175,1356156.0
16200,6391,4994,1,5400,40,0.21328883175000002,114833.0
21518,6391,9332,1,5400,40,0.125309380839,103447.0
13288,6392,2448,1,950,20,0.0967767180628,12861.0
11494,6393,3448,1,6900,60,0.0283622966048,4758688.0
3625,6394,8777,1,950,20,0.8783720075650001,109092.0
20918,6394,8297,1,950,20,0.8666551066310001,100682.0
25962,6394,1895,1,950,20,1.09629174959,6643.0
5889,6395,802,1,950,20,2.74252085001,107671.0
22312,6395,8902,1,950,20,2.282834699,98032.0
9533,6396,4537,1,5400,40,0.0296643139044,2038905.0
8035,6397,6400,1,6900,60,0.241236122542,2116667.0
6209,6398,6440,1,6900,60,0.323164072643,948507.0
3730,6398,4782,1,8100,40,0.8154547891769999,318055.0
8749,6399,7126,1,950,20,0.15319969914999998,364104.0
8723,6399,1535,1,8100,40,0.408338913214,33432.0
9078,6400,6405,1,6900,60,0.123630696624,2116495.0
14010,6401,6330,1,950,20,6.32592028926,4214.0
11738,6401,1884,1,5400,40,0.38169032755000004,568907.0
25190,6401,1255,1,5400,40,0.00796678356098,1039974.0
12193,6402,1028,1,8100,40,0.06936202303160001,1086010.0
5481,6403,4979,1,6900,60,0.0326368155335,6687617.0
3353,6404,6429,1,8100,40,0.064167153029,548057.0
