eid,source,target,EdgeBetweennessCentrality
104932,306,23679,340105.
18766,307,304,34996.
18771,307,7242,74995.
14909,308,11990,2.3158208e7
8466,309,20596,37441.
74516,309,311,80.
104998,310,19515,4.680237e6
29488,310,28902,4.141842e6
7441,311,309,86.
47658,311,24022,37674.
42449,312,27635,3.601641e6
43397,312,4869,33432.
82776,313,26992,114701.
6578,313,20132,323.
32187,313,35526,111662.
97674,314,8546,8594.
87328,314,315,31397.
53331,314,22807,49260.
43858,315,25497,175689.
32195,315,314,29074.
94922,315,35526,68588.
91052,316,28904,2124.
12494,316,6929,182294.
77258,316,30189,160946.
15924,317,2736,5.71003e6
20358,318,320,5.963315e6
41766,318,30720,3.399617e6
77746,318,18733,228178.
77756,318,36919,1.5189935e7
19507,319,37977,37520.
92322,320,2995,34.
42299,320,30724,3199.
81380,320,318,7.730522e6
20356,320,2191,5.940176e6
18758,321,304,3824.
80480,321,281,146219.
82600,321,25791,77612.
14580,322,37040,650222.
67806,322,19517,1.330186e6
12498,323,30189,93634.
26748,323,29614,33274.
91612,323,15383,98044.
55059,324,9504,8256.
67629,324,4475,280819.
54468,325,35956,84.
11540,325,27103,324223.
7310,326,16073,37517.
62695,327,329,229688.
45294,328,26586,1133.
52848,328,675,1.077795e6
35652,328,14060,1.539651e6
59859,329,6158,405714.
59875,329,32191,200871.
41591,330,4102,37517.
25841,331,9856,253179.
96256,331,27441,9.
50570,331,21891,186174.
84218,331,1623,111832.
69159,332,364,1.694845e6
24759,333,13294,6.302327e6
66779,333,13487,1.1527289e7
13777,334,1205,468.
27479,334,11821,865605.
41627,335,14012,1.7215134e7
56693,335,13278,332321.
85586,336,35400,1.290905e6
29881,336,344,709083.
17599,337,3569,327904.
43799,337,29421,752919.
79912,337,30007,207776.
77760,338,356,19120.
13408,338,30165,233886.
41624,338,14103,1.702458e7
7626,339,1258,1.645021e6
54761,339,341,186030.
43544,340,15219,37517.
12530,341,19570,190739.
77274,341,1258,242007.
19589,342,6309,883102.
57791,343,26913,2.026345e6
86150,344,336,1.255195e6
85582,344,19380,672159.
14837,345,10777,40070.
78542,345,350,28543.
75362,346,351,589047.
69358,346,37239,393850.
57783,347,34845,2.130335e6
16808,348,25264,5.028721e6
1616,348,7114,793515.
46749,349,26296,2.270985e6
16227,350,352,55566.
14780,350,345,38011.
9026,351,346,381961.
54251,351,8266,3.067257e6
81730,351,18189,612045.
14776,352,350,66326.
78572,352,30318,92005.
69065,353,14481,97554.
24763,353,13543,416787.
99302,354,4598,37517.
57782,355,347,2.131627e6
13410,356,338,418543.
80390,356,3026,200601.
18642,356,1983,1.762833e7
59820,357,22754,606533.
83014,357,460,148616.
53193,358,8264,33907.
67300,358,15273,2.286394e6
12926,359,11374,416865.
95326,359,11375,170728.
47473,360,29898,851908.
94724,360,27189,650448.
58277,361,36118,37567.
86494,362,363,76267.
42248,362,3581,0.
30531,362,7007,40062.
30533,363,362,78861.
80356,363,3581,113677.
100386,363,12711,95.
47689,364,19500,1.693553e6
61097,365,31876,92861.
63664,365,23111,93792.
60515,366,367,467876.
282,367,24663,466584.
13555,368,33610,416701.
104874,368,16723,131272.
67558,368,7519,762174.
1809,369,21190,97610.
72116,369,7231,119109.
9416,370,15721,2.7492866e7
32875,371,26102,7.6636213e7
52472,372,24393,71002.
100442,372,25707,39870.
51749,373,17608,603659.
62524,373,17707,11153.
22387,374,25010,1.643717e6
54663,374,382,268258.
32309,375,16953,9408.
74860,375,2509,74366.
70884,375,27197,101718.
52102,376,31224,1636.
102286,376,32184,387280.
62738,376,691,336115.
45795,377,20017,317209.
40265,377,22855,20166.
54639,378,386,1.400579e6
32320,379,25298,4.0658624e7
19036,379,16166,135632.
54636,380,29226,312954.
62437,381,8041,66558.
61006,381,29187,66758.
101328,381,395,39730.
54664,382,380,314246.
31550,382,19269,166500.
54641,383,27561,381130.
77044,383,18338,4981.
12156,383,18335,1.145109e6
36325,384,13842,40108.
44057,384,388,313759.
23921,385,35284,2.2830667e7
3458,386,13772,1.399287e6
69179,387,405,4.328198e6
24066,388,25426,254702.
44058,388,28166,116419.
21731,389,38199,51733.
81000,389,5988,152291.
82976,389,16701,169980.
82084,389,2485,30811.
69181,390,387,4.32949e6
44176,391,15602,5.3271766e7
44052,392,1084,933935.
44056,393,384,353430.
63667,393,13546,263478.
36224,394,29284,855941.
44054,394,2453,619149.
101330,395,398,148599.
61008,395,381,40167.
101718,395,5398,77623.
62287,395,6919,3102.
48421,396,22713,126156.
4517,396,32717,2.025075e6
3104,397,5456,5.4471156e7
41271,398,24721,626424.
61010,398,395,155325.
103266,398,29884,0.
64340,398,6919,52.
3086,399,5451,5.3691201e7
3085,400,399,5.3692493e7
58791,401,36540,1.294125e6
29754,402,5365,479955.
46657,402,5414,0.
3073,403,400,5.3693785e7
56002,404,3301,2.7359721e7
69420,405,32160,906371.
69180,405,9468,3.842585e6
80642,406,1878,28.
19029,406,28382,4591.
69985,406,27095,32960.
99474,407,408,77616.
19876,407,5489,112545.
99476,408,33658,38809.
57714,408,407,75032.
2603,409,5449,5.3697661e7
51474,410,6672,2.073174e6
6666,410,36355,5.5200891e7
48949,411,3305,2.3307707e7
5605,411,18067,645298.
67803,412,24483,704.
60047,412,33638,3.596927e6
19855,413,27184,38809.
19847,413,419,2.
81070,413,2547,75030.
2551,414,5330,5.7276649e7
10955,415,411,2.3954297e7
66058,416,30969,37517.
19843,417,2547,38808.
81066,417,419,3.
19852,417,26430,225078.
2564,418,414,5.7277941e7
19845,419,417,115123.
81068,419,413,77610.
90430,420,19092,62246.
94368,420,16333,5.
67754,420,4117,55043.
69177,421,13459,6.865256e6
94034,421,8876,1.434079e6
6298,421,31293,403794.
10952,422,10713,3.3031779e7
7452,423,28848,1.173488e6
46835,423,1322,4.197674e6
43807,424,6976,5.002748e6
70358,424,422,3.3033071e7
21984,425,1968,398216.
82208,425,32411,369339.
53159,426,33107,295752.
52085,426,33204,613.
23645,427,35454,720469.
32479,428,5504,1.14803e6
32232,428,5650,38366.
70356,429,15592,3.7136762e7
70368,429,15588,169649.
27196,430,28387,1.162934e6
1417,431,25816,6.833898e6
2557,432,5894,5.458581e7
25082,432,5942,1.195136e6
102566,433,35348,76456.
63256,433,87,96106.
56088,434,27021,6.727752e6
83092,435,9944,35281.
20190,435,427,420765.
29580,435,26022,18993.
52825,436,6911,6.670712e6
56084,437,3382,2.907801e7
80492,438,439,5.
27053,438,21516,21263.
84744,438,13255,21606.
80938,439,13256,11436.
18782,439,438,2.
19664,439,21518,70741.
56051,440,3340,2.9074134e7
195,441,21514,39936.
71238,441,13245,100215.
44207,441,20823,91357.
51794,442,11180,124461.
97578,442,3645,380451.
98564,443,13248,7436.
215,443,445,85835.
55359,443,12719,19076.
56036,444,25762,2.6861354e7
92596,445,13249,3571.
216,445,446,132528.
42818,445,18670,15696.
16738,446,13250,6356.
79550,446,21515,10353.
217,446,33581,265066.
32271,447,449,1.46851e7
68811,448,475,934572.
66820,448,28085,3.915122e6
52638,449,15060,1.4683808e7
54304,450,430,1.164226e6
56027,451,453,2.8579566e7
28785,452,30185,6.724607e6
52639,453,2506,2.8601922e7
52635,454,3384,6.836482e6
57045,455,25656,5.227796e6
41604,456,29172,446326.
81638,456,11621,495742.
28753,457,4969,40369.
8217,457,18748,2.4557e6
56035,458,3338,2.5887159e7
49356,459,32581,6.722023e6
22362,460,8937,84733.
23473,460,357,569064.
83016,460,36209,25372.
57462,461,5426,1.2824405e7
42114,462,461,10865.
99766,462,11006,1.009944e6
58323,462,22831,381020.
87674,463,3139,38809.
11129,463,8383,75032.
41413,464,17397,1.2817416e7
21108,464,462,1.025966e6
99400,465,13611,30698.
57582,465,30732,37473.
46256,467,8096,762976.
2135,468,30099,1.41955441e8
70243,469,20100,308435.
72328,470,8665,232353.
2334,470,6754,261704.
1731,470,16015,77586.
4268,471,27874,58364.
41594,471,27770,542988.
74884,472,37033,329155.
19420,472,23122,142.
80864,472,37034,434009.
42840,473,7168,5.081027e6
94450,473,22,5.398943e6
5943,474,937,75282.
92448,474,17681,115892.
59784,475,30135,933280.
15478,476,28451,752831.
78308,477,24906,37517.
19679,478,476,754123.
57850,479,15900,0.
101984,479,35765,77614.
76970,479,12998,150060.
89952,480,15409,65514.
43167,480,6575,91982.
4130,481,482,1.7790806e7
4131,482,3736,1.9540949e7
7808,483,16107,37517.
47018,484,36706,187317.
7579,485,3033,206520.
59907,486,27642,6.059306e6
4313,487,18732,4.6202258e7
71768,488,1618,196.
8239,488,6199,172270.
35723,489,33630,79989.
98632,489,1142,12372.
77146,490,6161,288216.
12317,490,18181,451341.
40711,491,28164,1.602959e6
104520,492,9793,265.
62688,492,9778,338617.
61160,493,8096,1.870661e6
62693,493,9781,2608.
44449,494,24251,1.35966e6
32990,494,12591,582850.
6713,495,7241,12832.
105236,495,34858,37514.
46989,496,2460,328547.
44448,496,494,1.620205e6
39626,497,12721,5.2097153e7
80262,498,499,37517.
86734,499,13593,14434.
18307,499,498,38809.
80264,499,502,135802.
31008,499,35639,77616.
49732,500,12,6.727191e6
69491,501,500,6.728483e6
65067,502,5480,38809.
18309,502,499,141062.
80266,502,510,210777.
103718,502,19078,72.
44445,503,20959,2.306638e6
69490,504,501,6.577833e6
26549,505,11992,50046.
66486,505,37956,1.385526e6
84514,505,33815,490228.
80510,506,507,38805.
41908,506,3278,3.360977e6
18805,506,6847,87715.
95746,507,21936,3.
18807,507,506,37514.
92432,507,34346,0.
39456,508,26393,597020.
23579,508,28275,77616.
106690,508,16493,499025.
100908,508,35622,28543.
3477,509,28765,68455.
72828,509,1206,38831.
7578,509,485,170595.
86642,510,513,248252.
18311,510,502,218622.
17824,511,18980,381367.
16526,512,11421,439991.
16521,512,14046,433769.
30821,513,510,257389.
65973,513,35959,285725.
106562,514,6843,93540.
42480,514,3365,773.
70915,514,12510,58441.
11354,515,20611,248673.
9621,515,14053,699396.
70665,516,540,422219.
32570,516,27326,1885.
32569,517,516,836.
25126,517,12686,415208.
51303,518,2766,250318.
51327,518,4015,240563.
67888,521,21817,6.2726454e7
70351,522,31081,74966.
69681,522,32754,286166.
56706,522,9388,0.
32353,523,530,658816.
40922,524,849,3.786242e6
21063,525,33803,1.614907e6
47094,525,28379,22034.
21449,526,10569,351016.
17046,526,31710,220130.
22407,527,31058,2.079994e7
51173,528,37139,286179.
70767,529,9193,370705.
8341,529,15555,327497.
105810,530,24379,733718.
15941,531,29502,887051.
18815,532,549,103130.
80512,532,34343,134793.
6549,533,11120,2.529932e6
28970,534,14272,867740.
28915,535,37419,884536.
81458,536,537,77616.
20478,536,16437,35.
51031,536,1367,796620.
20480,537,536,16.
81460,537,4982,38809.
27026,537,1367,75016.
84796,538,15216,878111.
27133,538,15358,32.
32573,539,3123,306.
25125,539,517,416948.
70666,540,1416,116331.
32572,540,539,306085.
95426,541,23840,10557.
55381,541,19825,71466.
38634,541,30987,2280.
75786,542,14387,1.887649e6
1879,542,15220,1.09792e6
23820,543,688,36784.
83194,543,34888,5501.
53999,543,36085,38739.
97964,543,545,134.
36291,544,546,38746.
72758,545,34889,74740.
54001,545,543,220.
3237,545,636,144.
97966,545,551,38809.
17194,546,29050,3.6781281e7
18811,547,34343,37517.
86870,548,1545,38809.
80516,548,549,72371.
20448,548,37446,15984.
18813,549,548,74966.
80518,549,532,99178.
80830,549,2751,1704.
66907,550,8060,8.3345728e7
54003,551,545,37517.
51352,552,29548,3.007059e6
33417,552,31061,7.477818e6
70778,553,30337,80541.
70788,553,556,12351.
47608,555,16232,12.
7479,555,31130,37638.
62647,556,30429,381107.
47423,557,17086,1.417534e6
99640,558,6024,153873.
54784,558,17883,669341.
5694,558,8437,1009.
22443,559,12705,38809.
30626,559,20861,356280.
58274,560,27642,182269.
57821,560,9838,6.582939e6
57820,561,560,6.093725e6
59874,561,37096,436528.
56168,562,21962,5.6610842e7
7166,563,5722,323176.
45961,564,20459,1.199893e6
52468,564,14086,7.985365e7
45327,565,1732,262577.
88662,565,566,116421.
93816,565,13295,116421.
38196,566,944,38809.
35224,566,565,112545.
90388,566,15133,38809.
65975,567,568,1.850933e6
12179,567,35647,5.8164902e7
61302,568,35644,1.270715e6
65976,568,15636,578926.
66470,569,6364,381467.
16102,569,12733,349223.
50434,570,20882,151873.
50306,570,35198,959514.
45163,571,20945,155175.
93704,571,27934,187517.
95190,572,34772,75032.
54020,572,27374,38809.
96218,573,37512,786529.
50471,573,27410,808897.
5012,574,17652,3.248653e6
37390,574,26495,38809.
20374,575,9244,178332.
91122,575,4942,145811.
48701,576,570,447639.
52689,576,35197,606891.
19595,577,17551,36066.
30447,577,32439,1604.
57404,578,5108,829458.
101530,579,31021,69672.
38645,579,32687,38613.
99254,580,4009,14323.
61477,580,12015,55466.
