eid,source,target,EdgeBetweennessCentrality
13895,358,2401,21354.
13889,358,3194,178552.
7173,359,5367,10325.
18628,360,6916,550887.
18615,360,293,82576.
10760,361,10282,117502.
10734,361,2190,91691.
7383,362,8270,37465.
24446,362,2903,64330.
1003,363,10346,31316.
10322,364,363,31488.
17295,364,271,3.649388e6
11791,365,7761,358121.
12560,365,6764,81847.
1974,366,10442,308642.
4310,366,10026,299413.
28628,367,9292,43729.
10327,367,2903,17182.
8882,368,4992,20648.
23792,368,8442,10497.
23720,368,3308,0.
16339,369,383,8457.
10302,369,357,114220.
27596,369,4693,61740.
13437,370,330,247897.
9644,370,639,1.099841e6
13118,371,4191,41496.
19176,372,1482,219462.
5946,372,7620,597157.
11690,373,758,48095.
16971,373,766,57565.
16973,374,776,13742.
28232,374,2678,144978.
13634,375,4257,1.567655e6
15108,376,5226,2.053689e6
4189,377,8762,7994.
21238,377,379,40.
20278,377,2758,18091.
11083,378,7622,90801.
1327,378,5855,309680.
4191,379,377,48.
21240,379,380,10497.
21242,379,391,20600.
4193,380,379,10325.
21798,380,391,0.
5683,381,2684,242656.
13657,382,4989,789604.
27594,383,369,163139.
16337,383,8270,4463.
28108,384,9376,10497.
17251,384,6521,20648.
5674,385,4427,1.183457e6
7132,385,2748,247601.
8416,386,388,523503.
8421,386,9071,155481.
10504,387,7841,96435.
24564,387,1925,37618.
8417,388,389,689948.
8418,389,2931,103650.
16370,389,8095,586126.
7131,390,4971,794115.
7134,390,381,242828.
26742,391,1922,62207.
4195,391,379,20952.
5147,391,380,0.
4197,391,2758,31911.
7137,392,779,1.036517e6
5698,393,787,1.037459e6
5691,394,4133,1.036001e6
12617,395,793,1.035485e6
13897,397,8528,61938.
17840,397,4313,219335.
21816,397,402,11566.
7107,398,773,1.050849e6
7114,399,6474,465935.
7110,399,403,581564.
7112,400,398,966008.
7116,400,6471,73764.
1753,401,10569,1.064321e6
3034,401,3196,89990.
19992,401,4925,1.077626e6
6732,402,9265,5902.
5170,402,397,12566.
21818,402,4503,5173.
7111,403,400,1.039944e6
15185,404,357,3.395436e6
10317,404,383,64497.
17505,405,7075,54807.
5174,405,4503,46521.
15480,406,427,737711.
27934,407,491,99097.
309,407,757,82140.
10089,409,412,537804.
25050,410,8020,721482.
6452,410,4111,1.040757e6
10534,411,9370,5.285777e6
10103,412,561,553178.
24372,412,9614,50617.
5958,413,51,460352.
7949,413,2116,618308.
26704,414,9464,5947.
14593,414,5010,36404.
7866,415,5937,875607.
24444,415,206,848772.
15193,416,1147,1.017992e6
5846,416,7501,720620.
9647,417,9812,17688.
10387,417,10228,2.095716e6
8758,418,4872,0.
5856,418,4873,1.224671e6
22204,418,8405,1.29545e6
11365,419,8047,1.391447e6
13410,420,296,1.277294e6
12304,421,4419,1.711717e6
14220,422,8820,231999.
2508,423,4910,9.121472e6
14431,424,2296,9.451502e6
18720,424,425,220578.
4794,425,4241,161830.
21570,425,4247,163355.
12233,426,5173,83432.
15476,427,448,737539.
4370,428,276,39886.
24112,428,8366,30094.
8011,429,7449,1.811085e6
9595,430,6361,542563.
23084,430,10155,498772.
23340,431,7352,605056.
8059,431,5421,601584.
9207,432,9096,124.
19400,432,6929,4838.
20444,432,10618,682.
474,432,8015,13165.
9766,433,5281,6899.
12590,433,4754,898562.
24176,433,4694,105056.
22238,434,9496,117347.
7343,434,7621,123993.
8303,435,8169,120534.
6013,435,437,123991.
8446,436,2993,31144.
12620,437,9952,182045.
22296,437,435,117864.
21394,438,6025,61410.
4501,438,7901,45.
9129,439,624,70091.
1018,440,683,1.046093e6
8063,441,7352,619690.
23344,441,8166,652740.
8422,441,9270,30444.
11390,442,6370,747236.
27460,442,9981,718389.
21556,443,5700,29479.
27498,443,445,765354.
16161,443,9950,771873.
28390,444,10131,10325.
4779,445,3648,10497.
27500,445,176,778540.
16163,445,443,800173.
5052,446,10843,659822.
1105,447,4772,124887.
5054,447,10623,534591.
15445,448,554,680283.
15477,448,507,57084.
25360,449,451,5.462749e6
7904,449,4695,5.311627e6
16652,450,2650,76180.
12096,451,449,5.320025e6
27806,451,34,5.47099e6
13530,452,3323,733096.
15879,453,1174,10325.
3540,454,9496,104511.
20858,454,464,31485.
24746,454,8634,93641.
6380,455,134,764630.
15479,455,406,4512.
4336,456,457,80933.
4337,457,9423,419659.
11042,458,3834,8291.
5518,458,3198,15577.
24832,458,463,627869.
25038,460,462,882537.
11618,460,7222,910893.
292,461,957,74295.
10813,461,950,70848.
7988,462,3351,10497.
11428,462,460,919936.
25040,462,6687,900329.
11044,463,458,2661.
24834,463,1221,622134.
5514,463,3198,643517.
24736,464,465,20992.
3542,464,454,30969.
10891,465,464,20648.
24744,465,469,10497.
17971,466,7840,1.299932e6
13433,466,637,1.217053e6
5516,467,3834,658750.
10899,469,465,10325.
9495,471,10228,1.542698e6
1147,471,9551,661043.
20080,472,5466,996229.
3016,472,524,949849.
1663,473,2829,105677.
4071,473,5286,96939.
7780,475,5330,88872.
3381,476,10159,42293.
9631,477,698,1.34253e6
14781,477,605,3430.
5084,478,1925,81505.
24258,478,1295,24070.
27368,479,346,91735.
17866,479,10509,91542.
5731,481,8609,323557.
20604,481,490,121137.
22112,481,5441,27438.
10867,483,497,221686.
10879,483,606,42637.
10884,483,486,328708.
10861,484,570,1.023802e6
7185,485,5605,1.088344e6
10887,486,485,1.088516e6
25904,487,633,119551.
21974,487,853,128426.
1647,488,492,10497.
12911,488,10508,10497.
19926,488,7351,30969.
7910,489,9386,5.188086e6
5228,489,9375,135328.
3063,490,481,20013.
23800,490,4833,110943.
25080,491,3515,109163.
16882,491,407,88717.
19924,492,488,10325.
28462,493,6413,10325.
4222,494,8035,452529.
16632,495,4738,40.
27704,495,10803,41976.
27768,495,903,51565.
10868,497,662,221514.
12741,498,1274,48.
24002,498,1463,10277.
18258,499,4394,452087.
9698,500,8913,1.047021e6
9636,500,580,118065.
22420,501,3978,310380.
14482,501,579,48321.
6249,501,3965,79492.
26686,501,1269,96858.
7815,502,3720,6452.
22048,502,3266,72073.
19980,502,1055,62952.
18890,503,1648,817911.
12336,504,5547,1.857879e6
22342,505,4535,11887.
26606,506,508,41030.
14447,506,117,21085.
15478,507,455,769314.
26602,508,2153,51101.
14536,508,506,31330.
28870,509,9490,121961.
4410,509,8163,32721.
18685,509,9868,287627.
3277,510,345,1.896002e6
8255,510,3115,1.6299e6
2991,511,472,1.005416e6
2685,511,524,157482.
6906,512,513,60178.
6907,513,9842,59834.
22840,513,7358,10497.
3102,514,560,223.
2684,514,511,1.16307e6
863,515,10,108313.
6905,515,7531,33332.
13443,516,9258,128113.
8953,517,123,264988.
21176,517,8695,102294.
24512,518,546,306644.
10419,518,1815,442135.
348,519,3668,1.069779e6
5438,520,2082,2108.
16242,520,5068,543800.
1749,522,520,546080.
844,523,8952,172163.
2686,524,532,1.107159e6
6508,525,10250,413935.
2365,526,2717,10497.
19636,526,4991,20648.
7939,527,523,172335.
17020,529,10376,133765.
27022,530,3872,125832.
18444,530,2987,134069.
12030,531,621,85230.
6028,531,590,35.
2687,532,555,7483.
2896,532,8124,1.099504e6
11446,534,536,297878.
11983,534,7657,102263.
15235,535,518,663029.
11742,535,527,172507.
18873,536,6848,295243.
16420,536,10229,47725.
15837,537,7381,163575.
10386,539,417,2.113576e6
15888,540,5809,75600.
13446,541,3893,98625.
15654,542,819,60.
15658,542,3188,115807.
827,543,8952,20115.
10429,543,44,14102.
24522,543,1783,245285.
15650,544,548,93898.
13319,545,7780,3.897854e6
24514,546,3361,242463.
15244,546,8931,54267.
10421,546,518,75311.
13318,547,3869,3.738955e6
15651,548,549,106391.
15652,549,834,85231.
15911,549,845,20988.
13316,550,545,3.898026e6
5298,551,2774,31144.
20554,552,560,101622.
2683,552,514,1.060397e6
7465,553,7070,354903.
22482,554,9803,671576.
6377,554,507,712402.
2682,555,552,1.162004e6
12312,556,3977,469049.
25438,556,1252,964039.
9635,557,500,1.165258e6
29084,558,576,35602.
19057,558,1723,5210.
13445,559,516,128285.
2921,560,552,187.
20622,560,514,103068.
17501,560,794,91760.
12881,561,4600,494405.
9737,561,5970,58601.
6020,562,6152,466309.
22546,562,9328,135075.
13447,563,576,98281.
11175,564,3976,54006.
8852,564,2038,260604.
1291,565,10337,59811.
8197,565,566,488827.
19760,565,4031,187709.
2926,566,5840,303563.
8198,566,567,341714.
14114,567,4808,353254.
8199,567,3993,296477.
7006,569,2311,387688.
10865,570,608,1.02363e6
3514,571,9739,374163.
20848,571,10772,641043.
13213,572,1026,159602.
28336,572,5469,173830.
22466,573,7688,375532.
15426,573,7699,102647.
9775,574,10257,19015.
2416,574,7268,1588.
20370,574,5741,3401.
27550,575,6680,70619.
25910,575,577,73978.
19055,576,558,5254.
13440,576,559,128457.
21178,577,10423,77761.
13218,577,575,73894.
24860,578,3291,400418.
24858,578,10231,383457.
14427,579,7459,38955.
26584,579,501,66801.
14867,579,3965,953.
13408,580,3051,1.20282e6
3565,581,4227,31423.
20862,581,5285,4094.
22862,583,1502,359916.
13886,583,7830,374905.
25800,584,585,105678.
10517,584,5132,183751.
13035,585,584,189718.
21596,585,2733,16217.
25802,585,589,248430.
4007,586,9793,229896.
21182,586,7887,277913.
12293,587,7720,322618.
6891,588,610,119309.
16883,588,591,109532.
20178,589,9793,258162.
13037,589,585,209944.
14651,590,8440,315338.
22308,590,531,65010.
5072,591,9318,109360.
23398,592,4649,10325.
5927,593,352,883119.
3655,594,8066,3527.
21072,594,7659,423505.
4517,595,9406,869299.
5915,596,593,883291.
10250,597,3860,22891.
5918,598,2650,6.743326e6
13532,599,477,1.346132e6
5431,600,9755,685966.
5406,601,9042,891500.
11838,602,376,2.039383e6
5923,603,34,5.336864e6
5920,603,2629,1.482298e6
15695,604,8588,7.22758e6
13537,605,341,1.269166e6
10882,606,476,42465.
10866,608,483,263478.
3400,608,486,759980.
22828,609,610,101338.
6887,609,1635,134925.
6893,610,609,127114.
22826,610,588,93361.
16906,611,8482,20732.
27986,611,8492,10670.
22740,612,10630,18973.
7441,613,7654,290741.
12083,613,590,8575.
594,614,622,173486.
7421,615,7936,143980.
22806,615,3473,73437.
2048,617,618,402500.
1546,617,8301,59078.
2117,618,890,325680.
2049,618,1267,214925.
17689,619,8996,137108.
28348,619,8997,247213.
16310,620,737,7.201667e6
8626,621,627,85058.
16273,622,10435,173314.
5071,623,588,135652.
21824,624,626,70372.
7726,625,1720,31161.
5070,625,623,102727.
5179,626,624,453.
19542,626,10033,72002.
22318,627,6253,73377.
6044,627,4055,21662.
12273,628,7790,30642.
29118,628,7647,45425.
23294,629,130,299192.
19998,629,1259,242866.
6286,629,3059,89621.
25380,630,272,219559.
16767,630,6431,3560.
12092,631,6667,20592.
6054,631,5740,26039.
22328,631,4055,15217.
16325,632,753,266351.
29126,633,7862,109645.
13211,633,487,118143.
15583,634,6535,333462.
16678,635,694,1.018797e6
22322,636,4051,88422.
6048,636,6253,4.
13434,637,3353,1.234021e6
18611,638,986,113385.
18617,638,7261,536398.
13432,639,330,1.064638e6
24094,639,7022,1.093611e6
27980,640,1245,165574.
1790,640,4662,165343.
3383,641,643,110468.
15954,641,100,173504.
14171,642,5640,324779.
20758,643,641,164513.
5544,643,2926,47879.
21994,643,9878,97855.
28990,644,5818,203691.
18292,644,5619,582002.
730,645,10497,557333.
26788,646,6456,61.
6943,646,3111,75502.
3177,647,4674,10837.
8299,647,4676,892457.
16316,648,696,65433.
8298,649,647,903466.
21724,651,7339,6167.
5006,651,7335,104334.
22688,651,9951,10398.
10883,652,483,329725.
10881,652,606,0.
27400,653,1403,9711.
15859,653,326,19575.
3336,654,658,1.976712e6
5660,655,4253,2.115463e6
5661,656,655,2.115635e6
13504,657,4252,2.115979e6
5665,658,6410,1.97654e6
5664,659,6411,1.976196e6
23876,660,6176,251352.
18978,660,6980,267826.
13878,661,5598,579235.
13879,661,1750,13278.
22760,662,7561,190508.
10880,662,652,329897.
10864,663,7709,1.003349e6
2233,665,7682,333903.
20266,665,669,1.077676e6
9006,666,7770,76729.
12302,666,4615,67963.
8816,667,4338,10325.
5670,668,2179,1.183113e6
20250,669,3672,1.077756e6
2235,669,665,300042.
1983,670,736,693169.
1211,670,8218,5.995407e6
16984,671,661,21473.
17457,671,5598,89129.
5673,672,385,1.43123e6
957,673,672,1.431402e6
6302,674,9165,681703.
24560,674,869,170798.
2610,675,6579,2.083288e6
16315,676,4830,441462.
745,677,678,1.13334e6
13524,678,4185,1.133168e6
14527,679,7347,891994.
3150,680,9319,5.395295e6
16298,681,699,173830.
17460,682,5597,4800.
16907,682,1766,673702.
1149,683,6372,1.045921e6
12082,684,685,41636.
16543,685,688,51789.
2913,687,684,41807.
16544,688,3553,51610.
2916,688,687,7.
11359,689,9385,1.362023e6
10623,690,980,42919.
25728,690,6991,11991.
7630,691,1749,15247.
17462,691,4813,122200.
19115,692,4816,95138.
14392,692,751,83087.
16293,693,759,209286.
17625,694,750,8.846215e6
16297,696,6045,65261.
21610,697,2809,20626.
4859,697,4242,62791.
13533,698,605,1.265908e6
19039,698,2039,1.351138e6
16317,699,614,173658.
11156,701,768,287404.
23544,702,721,268849.
17701,702,7079,85359.
24000,703,728,109739.
9395,703,3339,90462.
19124,704,712,1.931945e6
29132,704,5927,1.93462e6
24392,705,8482,30130.
9403,705,4695,40234.
16999,706,708,52297.
13062,707,3756,134010.
17033,707,797,508622.
24768,708,9413,31485.
